Source: MJ Menne CN Williams Jr. RS Vose NOAA National Climatic Data Center Asheville, NC
State_id  ,YEAR  ,Month  ,PRECIP (in) 
'170100',1948,7,2.86 
'170100',1948,8,1.27 
'170100',1948,9,0.87 
'170100',1948,10,4.15 
'170100',1948,11,9.54 
'170100',1948,12,5.15 
'170100',1949,1,4.78 
'170100',1949,2,4.17 
'170100',1949,3,2.91 
'170100',1949,4,3.42 
'170100',1949,5,2.92 
'170100',1949,6,2.19 
'170100',1949,7,1.85 
'170100',1949,8,1.56 
'170100',1949,9,5.05 
'170100',1949,10,2.84 
'170100',1949,11,7.5 
'170100',1949,12,3.02 
'170100',1950,1,6.76 
'170100',1950,2,3.65 
'170100',1950,3,5.64 
'170100',1950,4,4.75 
'170100',1950,5,0.78 
'170100',1950,6,3.78 
'170100',1950,7,2.03 
'170100',1950,8,4.03 
'170100',1950,9,1.31 
'170100',1950,10,2.72 
'170100',1950,11,11.94 
'170100',1950,12,7.93 
'170100',1951,1,4.66 
'170100',1951,2,7.09 
'170100',1951,3,4.86 
'170100',1951,4,6.84 
'170100',1951,5,4.43 
'170100',1951,6,2.29 
'170100',1951,7,6.53 
'170100',1951,8,3.35 
'170100',1951,9,3.37 
'170100',1951,10,5.09 
'170100',1951,11,11.26 
'170100',1951,12,5.67 
'170100',1952,1,8.1 
'170100',1952,2,6.91 
'170100',1952,3,3.06 
'170100',1952,4,2.94 
'170100',1952,5,4.1 
'170100',1952,6,3.75 
'170100',1952,7,0.75 
'170100',1952,8,2.91 
'170100',1952,9,3.09 
'170100',1952,10,3.27 
'170100',1952,11,3.71 
'170100',1952,12,5.85 
'170100',1953,1,6.77 
'170100',1953,2,5.9 
'170100',1953,3,12.56 
'170100',1953,4,5.55 
'170100',1953,5,3.3 
'170100',1953,6,2.44 
'170100',1953,7,3.36 
'170100',1953,8,2.72 
'170100',1953,9,3.7 
'170100',1953,10,6.28 
'170100',1953,11,6.52 
'170100',1953,12,6.44 
'170100',1954,1,4.67 
'170100',1954,2,6.33 
'170100',1954,3,5.74 
'170100',1954,4,5.82 
'170100',1954,5,5.84 
'170100',1954,6,6 
'170100',1954,7,3.08 
'170100',1954,8,4.05 
'170100',1954,9,8.49 
'170100',1954,10,5.72 
'170100',1954,11,6.64 
'170100',1954,12,7.71 
'170100',1955,1,1.93 
'170100',1955,2,8.23 
'170100',1955,3,6.2 
'170100',1955,4,2.61 
'170100',1955,5,2.61 
'170100',1955,6,2.69 
'170100',1955,7,1.54 
'170100',1955,8,4.07 
'170100',1955,9,2.2 
'170100',1955,10,4.16 
'170100',1955,11,6.63 
'170100',1955,12,1.13 
'170100',1956,1,7.15 
'170100',1956,2,4.03 
'170100',1956,3,5.65 
'170100',1956,4,3.98 
'170100',1956,5,4.24 
'170100',1956,6,2.26 
'170100',1956,7,4.87 
'170100',1956,8,2.39 
'170100',1956,9,3.87 
'170100',1956,10,4.1 
'170100',1956,11,5.22 
'170100',1956,12,4.9 
'170100',1957,1,3.38 
'170100',1957,2,2.37 
'170100',1957,3,2.53 
'170100',1957,4,3.24 
'170100',1957,5,3.07 
'170100',1957,6,2.81 
'170100',1957,7,3.52 
'170100',1957,8,1.4 
'170100',1957,9,1.68 
'170100',1957,10,2.16 
'170100',1957,11,8.7 
'170100',1957,12,6.91 
'170100',1958,1,12.33 
'170100',1958,2,4.2 
'170100',1958,3,4.02 
'170100',1958,4,7.15 
'170100',1958,5,4.49 
'170100',1958,6,3.17 
'170100',1958,7,5.79 
'170100',1958,8,2.79 
'170100',1958,9,3.51 
'170100',1958,10,7.3 
'170100',1958,11,7.59 
'170100',1958,12,2.35 
'170100',1959,1,6.09 
'170100',1959,2,3.56 
'170100',1959,3,5.53 
'170100',1959,4,3.03 
'170100',1959,5,1.54 
'170100',1959,6,7.2 
'170100',1959,7,2.42 
'170100',1959,8,2.84 
'170100',1959,9,3.59 
'170100',1959,10,8.48 
'170100',1959,11,12.53 
'170100',1959,12,6.16 
'170100',1960,1,4.98 
'170100',1960,2,9.83 
'170100',1960,3,2.95 
'170100',1960,4,4.44 
'170100',1960,5,5.88 
'170100',1960,6,3.19 
'170100',1960,7,5.42 
'170100',1960,8,1.21 
'170100',1960,9,4.36 
'170100',1960,10,4.87 
'170100',1960,11,6.28 
'170100',1960,12,5.8 
'170100',1961,1,2.99 
'170100',1961,2,4.1 
'170100',1961,3,3.54 
'170100',1961,4,6.56 
'170100',1961,5,7.48 
'170100',1961,6,3.51 
'170100',1961,7,3.93 
'170100',1961,8,1.21 
'170100',1961,9,3.49 
'170100',1961,10,3.78 
'170100',1961,11,9.61 
'170100',1961,12,5.66 
'170100',1962,1,4.48 
'170100',1962,2,2.82 
'170100',1962,3,1.71 
'170100',1962,4,6.46 
'170100',1962,5,1.98 
'170100',1962,6,2.5 
'170100',1962,7,3.14 
'170100',1962,8,3.06 
'170100',1962,9,5.38 
'170100',1962,10,4.72 
'170100',1962,11,10.07 
'170100',1962,12,7.76 
'170100',1963,1,4.31 
'170100',1963,2,5.49 
'170100',1963,3,3.72 
'170100',1963,4,2.82 
'170100',1963,5,5.42 
'170100',1963,6,1.53 
'170100',1963,7,2.72 
'170100',1963,8,4.06 
'170100',1963,9,3.68 
'170100',1963,10,4.5 
'170100',1963,11,14.31 
'170100',1963,12,2.65 
'170100',1964,1,6.11 
'170100',1964,2,2.68 
'170100',1964,3,3.71 
'170100',1964,4,4.68 
'170100',1964,5,2 
'170100',1964,6,1.89 
'170100',1964,7,4.45 
'170100',1964,8,3.49 
'170100',1964,9,2.83 
'170100',1964,10,3.7 
'170100',1964,11,5.68 
'170100',1964,12,7.37 
'170100',1965,1,2.25 
'170100',1965,2,6.18 
'170100',1965,3,0.63 
'170100',1965,4,3.89 
'170100',1965,5,2.01 
'170100',1965,6,1.45 
'170100',1965,7,1.41 
'170100',1965,8,2.97 
'170100',1965,9,2.09 
'170100',1965,10,4.78 
'170100',1965,11,8.65 
'170100',1965,12,3.43 
'170100',1966,1,5.45 
'170100',1966,2,3.9 
'170100',1966,3,4.66 
'170100',1966,4,0.96 
'170100',1966,5,2.64 
'170100',1966,6,2.97 
'170100',1966,7,3.55 
'170100',1966,8,2.99 
'170100',1966,9,4.25 
'170100',1966,10,4.41 
'170100',1966,11,9.34 
'170100',1966,12,4.14 
'170100',1967,1,2.57 
'170100',1967,2,5.59 
'170100',1967,3,1.7 
'170100',1967,4,3.25 
'170100',1967,5,5.69 
'170100',1967,6,4.35 
'170100',1967,7,2.64 
'170100',1967,8,3.15 
'170100',1967,9,7.35 
'170100',1967,10,2.47 
'170100',1967,11,5.93 
'170100',1967,12,8.87 
'170100',1968,1,4.58 
'170100',1968,2,2.6 
'170100',1968,3,4.73 
'170100',1968,4,3.6 
'170100',1968,5,3.1 
'170100',1968,6,4.65 
'170100',1968,7,1.52 
'170100',1968,8,1.99 
'170100',1968,9,2.73 
'170100',1968,10,3.7 
'170100',1968,11,10.05 
'170100',1968,12,7.13 
'170100',1969,1,4.66 
'170100',1969,2,6.91 
'170100',1969,3,3.69 
'170100',1969,4,4.78 
'170100',1969,5,2.97 
'170100',1969,6,2.6 
'170100',1969,7,5.16 
'170100',1969,8,3.08 
'170100',1969,9,6.17 
'170100',1969,10,2.61 
'170100',1969,11,11.4 
'170100',1969,12,12.82 
'170100',1970,1,1.05 
'170100',1970,2,7.67 
'170100',1970,3,4.54 
'170100',1970,4,6.12 
'170100',1970,5,4.59 
'170100',1970,6,3.88 
'170100',1970,7,2.87 
'170100',1970,8,4.24 
'170100',1970,9,2.97 
'170100',1970,10,5.62 
'170100',1970,11,4.83 
'170100',1970,12,6.24 
'170100',1971,1,3.34 
'170100',1971,2,7.12 
'170100',1971,3,5.29 
'170100',1971,4,2.39 
'170100',1971,5,4.42 
'170100',1971,6,2.54 
'170100',1971,7,3.25 
'170100',1971,8,2.71 
'170100',1971,9,3.15 
'170100',1971,10,3.89 
'170100',1971,11,5.2 
'170100',1971,12,3.43 
'170100',1972,1,3.76 
