#Source: MJ Menne CN Williams Jr. RS Vose NOAA National Climatic Data Center Asheville, NC
#data for Eastport, ME
# http://cdiac.ornl.gov/epubs/ndp/ushcn/ushcn_map_interface.html
State_id  ,YEAR  ,Month  ,PRECIP
'172426',1940,8,2.34 
'172426',1940,9,6.85 
'172426',1940,10,0.97 
'172426',1940,11,4.37 
'172426',1940,12,3.28 
'172426',1941,1,1.21 
'172426',1941,2,0.4 
'172426',1941,3,1.83 
'172426',1941,4,0.46 
'172426',1941,5,3.19 
'172426',1941,6,0.52 
'172426',1941,7,3.57 
'172426',1941,8,3.53 
'172426',1941,9,1.26 
'172426',1941,10,4.38 
'172426',1941,11,1.79 
'172426',1941,12,1.98 
'172426',1942,1,2.68 
'172426',1942,2,1.29 
'172426',1942,3,4.13 
'172426',1942,4,1.57 
'172426',1942,5,1.45 
'172426',1942,6,3.06 
'172426',1942,7,2.62 
'172426',1942,8,1.88 
'172426',1942,9,3.48 
'172426',1942,10,2.79 
'172426',1942,11,2.68 
'172426',1942,12,2.66 
'172426',1943,1,1.54 
'172426',1943,2,3.5 
'172426',1943,3,4.37 
'172426',1943,4,2.92 
'172426',1943,5,2.65 
'172426',1943,6,6.01 
'172426',1943,7,4.21 
'172426',1943,8,6.61 
'172426',1943,9,3.74 
'172426',1943,10,5.11 
'172426',1943,11,7.57 
'172426',1943,12,1.41 
'172426',1944,1,0.91 
'172426',1944,2,4.42 
'172426',1944,3,4.66 
'172426',1944,4,3.21 
'172426',1944,5,0.79 
'172426',1944,6,3.1 
'172426',1944,7,1.75 
'172426',1944,8,0.66 
'172426',1944,9,7.65 
'172426',1944,10,5.13 
'172426',1944,11,4.53 
'172426',1944,12,4.3 
'172426',1945,1,4.47 
'172426',1945,2,3.96 
'172426',1945,3,4.4 
'172426',1945,4,3.38 
'172426',1945,5,8.18 
'172426',1945,6,4.73 
'172426',1945,7,2.14 
'172426',1945,8,1.39 
'172426',1945,9,2.07 
'172426',1945,10,6.37 
'172426',1945,11,6.9 
'172426',1945,12,3.72 
'172426',1946,1,3.24 
'172426',1946,2,5.48 
'172426',1946,3,2.47 
'172426',1946,4,6.35 
'172426',1946,5,3.62 
'172426',1946,6,0.76 
'172426',1946,7,2.18 
'172426',1946,8,2.67 
'172426',1946,9,1.9 
'172426',1946,10,2.55 
'172426',1946,11,2.79 
'172426',1946,12,5.93 
'172426',1947,1,3.73 
'172426',1947,2,4.7 
'172426',1947,3,3.45 
'172426',1947,4,2.05 
'172426',1947,5,5.44 
'172426',1947,6,5.73 
'172426',1947,7,4.68 
'172426',1947,8,0.64 
'172426',1947,9,2.07 
'172426',1947,10,0.19 
'172426',1947,11,4.68 
'172426',1947,12,2.93 
'172426',1948,1,5.1 
'172426',1948,2,1.9 
'172426',1948,3,2.8 
'172426',1948,4,2.86 
'172426',1948,5,5.66 
'172426',1948,6,3.06 
'172426',1948,7,5.37 
'172426',1948,8,1.48 
'172426',1948,9,0.92 
'172426',1948,10,3.26 
'172426',1948,11,6.35 
'172426',1948,12,3.68 
'172426',1949,1,4.56 
'172426',1949,2,4.35 
'172426',1949,3,3.15 
'172426',1949,4,2.57 
'172426',1949,5,3.04 
'172426',1949,6,1.58 
'172426',1949,7,1 
'172426',1949,8,1.85 
'172426',1949,9,6.1 
'172426',1949,10,1.82 
'172426',1949,11,7.01 
'172426',1949,12,2.75 
'172426',1950,1,4.93 
'172426',1950,2,3.58 
'172426',1950,3,2.61 
'172426',1950,4,3.83 
'172426',1950,5,0.75 
'172426',1950,6,4.98 
'172426',1950,7,3.05 
'172426',1950,8,5.33 
'172426',1950,9,1.1 
'172426',1950,10,2.33 
'172426',1950,11,8.57 
'172426',1950,12,8.4 
'172426',1951,1,4.09 
'172426',1951,2,4.03 
'172426',1951,3,2.69 
'172426',1951,4,5.24 
'172426',1951,5,4.16 
'172426',1951,6,2.12 
'172426',1951,7,4.28 
'172426',1951,8,5.89 
'172426',1951,9,3.14 
'172426',1951,10,2.55 
'172426',1951,11,8.18 
'172426',1951,12,5.72 
'172426',1952,1,7.24 
'172426',1952,2,5.47 
'172426',1952,3,1.49 
'172426',1952,4,2.41 
'172426',1952,5,3.76 
'172426',1952,6,4.22 
'172426',1952,7,1.69 
'172426',1952,8,4.91 
'172426',1952,9,1.71 
'172426',1952,10,2.42 
'172426',1952,11,3.8 
'172426',1952,12,3.47 
'172426',1953,1,4.3 
'172426',1953,2,6.09 
'172426',1953,3,7.42 
'172426',1953,4,3.84 
'172426',1953,5,2.44 
'172426',1953,6,2.7 
'172426',1953,7,5.31 
'172426',1953,8,4.41 
'172426',1953,9,3.51 
'172426',1953,10,3.98 
'172426',1953,11,3.88 
'172426',1953,12,4.89 
'172426',1954,1,4.1 
'172426',1954,2,5.54 
'172426',1954,3,3.69 
'172426',1954,4,4.69 
'172426',1954,5,5.55 
'172426',1954,6,6.69 
'172426',1954,7,3.2 
'172426',1954,8,3.79 
'172426',1954,9,3.76 
'172426',1954,10,6 
'172426',1954,11,4.17 
'172426',1954,12,6.15 
'172426',1955,1,0.94 
'172426',1955,2,4.42 
'172426',1955,3,5.29 
'172426',1955,4,2.9 
'172426',1955,5,1.22 
'172426',1955,6,2.11 
'172426',1955,7,1.52 
'172426',1955,8,2.93 
'172426',1955,9,3.11 
'172426',1955,10,1.47 
'172426',1955,11,3.92 
'172426',1955,12,1.35 
'172426',1956,1,6.71 
'172426',1956,2,2.33 
'172426',1956,3,3.22 
'172426',1956,4,3.55 
'172426',1956,5,3.67 
'172426',1956,6,2.3 
'172426',1956,7,3.09 
'172426',1956,8,1.94 
'172426',1956,9,2.97 
'172426',1956,10,2.8 
'172426',1956,11,3.14 
'172426',1956,12,4.23 
'172426',1957,1,2.18 
'172426',1957,2,2.74 
'172426',1957,3,2.03 
'172426',1957,4,2.58 
'172426',1957,5,2.03 
'172426',1957,6,1.88 
'172426',1957,7,2.61 
'172426',1957,8,4.6 
'172426',1957,9,1.26 
'172426',1957,10,1.39 
'172426',1957,11,5.42 
'172426',1957,12,5.27 
'172426',1958,1,9.23 
'172426',1958,2,2.72 
'172426',1958,3,1.73 
'172426',1958,4,4.34 
'172426',1958,5,4.29 
'172426',1958,6,2.36 
'172426',1958,7,5.26 
'172426',1958,8,2.6 
'172426',1958,9,2.45 
'172426',1958,10,4.57 
'172426',1958,11,4.8 
'172426',1958,12,1.74 
'172426',1959,1,4.12 
'172426',1959,2,3.24 
'172426',1959,3,4.29 
'172426',1959,4,2.52 
'172426',1959,5,1.02 
'172426',1959,6,7.95 
'172426',1959,7,3.56 
'172426',1959,8,2.51 
'172426',1959,9,3.13 
'172426',1959,10,5.09 
'172426',1959,11,5.43 
'172426',1959,12,4.21 
